origination_month,score_band_v2,nb_clients,months_since_origination,clients_on_default
2018-02,1.0,10356,0,0
2018-02,1.0,10356,1,0
2018-02,1.0,10356,2,111
2018-02,1.0,10356,3,216
2018-02,1.0,10356,4,315
2018-02,1.0,10356,5,348
2018-02,1.0,10356,6,429
2018-02,1.0,10356,7,450
2018-02,1.0,10356,8,423
2018-02,1.0,10356,9,438
2018-02,1.0,10356,10,423
2018-02,1.0,10356,11,423
2018-02,1.0,10356,12,420
2018-02,1.0,10356,13,378
2018-02,1.0,10356,14,345
2018-02,1.0,10356,15,345
2018-02,2.0,9504,0,0
2018-02,2.0,9504,1,6
2018-02,2.0,9504,2,105
2018-02,2.0,9504,3,177
2018-02,2.0,9504,4,252
2018-02,2.0,9504,5,303
2018-02,2.0,9504,6,324
2018-02,2.0,9504,7,336
2018-02,2.0,9504,8,327
2018-02,2.0,9504,9,297
2018-02,2.0,9504,10,303
2018-02,2.0,9504,11,324
2018-02,2.0,9504,12,297
2018-02,2.0,9504,13,288
2018-02,2.0,9504,14,288
2018-02,2.0,9504,15,264
2018-02,3.0,16242,0,0
2018-02,3.0,16242,1,12
2018-02,3.0,16242,2,132
2018-02,3.0,16242,3,228
2018-02,3.0,16242,4,327
2018-02,3.0,16242,5,399
2018-02,3.0,16242,6,483
2018-02,3.0,16242,7,474
2018-02,3.0,16242,8,468
2018-02,3.0,16242,9,459
2018-02,3.0,16242,10,462
2018-02,3.0,16242,11,468
2018-02,3.0,16242,12,450
2018-02,3.0,16242,13,441
2018-02,3.0,16242,14,402
2018-02,3.0,16242,15,399
2018-02,4.0,16503,0,0
2018-02,4.0,16503,1,18
2018-02,4.0,16503,2,66
2018-02,4.0,16503,3,144
2018-02,4.0,16503,4,198
2018-02,4.0,16503,5,255
2018-02,4.0,16503,6,348
2018-02,4.0,16503,7,354
2018-02,4.0,16503,8,357
2018-02,4.0,16503,9,321
2018-02,4.0,16503,10,360
2018-02,4.0,16503,11,381
2018-02,4.0,16503,12,366
2018-02,4.0,16503,13,345
2018-02,4.0,16503,14,354
2018-02,4.0,16503,15,306
2018-02,5.0,7848,0,0
2018-02,5.0,7848,1,6
2018-02,5.0,7848,2,27
2018-02,5.0,7848,3,45
2018-02,5.0,7848,4,60
2018-02,5.0,7848,5,96
2018-02,5.0,7848,6,90
2018-02,5.0,7848,7,117
2018-02,5.0,7848,8,105
2018-02,5.0,7848,9,123
2018-02,5.0,7848,10,102
2018-02,5.0,7848,11,129
2018-02,5.0,7848,12,123
2018-02,5.0,7848,13,105
2018-02,5.0,7848,14,93
2018-02,5.0,7848,15,87
2018-02,6.0,9171,0,0
2018-02,6.0,9171,1,6
2018-02,6.0,9171,2,36
2018-02,6.0,9171,3,51
2018-02,6.0,9171,4,45
2018-02,6.0,9171,5,60
2018-02,6.0,9171,6,84
2018-02,6.0,9171,7,69
